claim_id,manuscript_location,original_claim,evidence_required,experiment_ids,evidence_paths,verified_result,decision,replacement_text,tracker_task_ids,status
CLM-001,Title/Abstract,Distributed/scalable cognitive modeling across compute nodes,physical topology + scaling,EXP-6.2;EXP-6.3,,Only rejected PDF available,narrow,A Multi-Scale Temporal Convolutional Network for Cognitive State Modeling with Branch-Parallel Multi-GPU Execution,D1-01;D1-06;W5-01,blocked
CLM-002,Abstract/Results,near-linear efficiency eta >=0.81 from 1 to 8 compute nodes and 57% epoch reduction,raw timings on verified physical devices,EXP-6.3,,No raw timing evidence; current host has one GPU,remove,Report only regenerated single-server GPU-worker measurements,D1-01;E4-06;W5-01,blocked
CLM-003,Introduction/Problem,standard data parallelism violates temporal causal ordering,matched causal-mechanism study,EXP-3.1,,No implementation or runs,remove,Do not claim inherent DDP causality violation,D1-03;E4-02;W5-03,blocked
CLM-004,Contributions/Method,TCP guarantees convergence within a neighborhood of synchronous optimum,valid proof + implementation semantics,EXP-0.3,,Proof sketch insufficient; no code,remove,State only a tested operational version-lag invariant if implemented,D1-04;T2-09;T2-10,blocked
CLM-005,Method/Figure 2,branch receptive fields 47/383/1535,code graph + gradient/perturbation support,EXP-0.1,,Written two-convolution formula instead suggests 61/481/1921,narrow,Report verified theoretical RF and input-capped realized context,T2-02,blocked
CLM-006,Method/Complexity,personalization costs 2D parameters per subject,state_dict enumeration,EXP-0.2,,Generated FiLM outputs are not stored per-subject parameters,narrow,Report shared generator separately; per-subject storage is d_s if code confirms,T2-03,blocked
CLM-007,Data/Results,DAIC-WOZ standard 107/82 train/test,official split files + evaluator provenance,EXP-1.1;EXP-4.2,,Supplied PDF lacks official split/evaluator evidence,remove,Use verified 107/35/47 official protocol or dev-only limitation,V3-02,blocked
CLM-008,Results,highest macro-F1 on StudentLife and DAIC-WOZ,leakage-safe locked OOF/test predictions,EXP-4.1;EXP-4.2;EXP-4.3,,No predictions/logs; StudentLife used 80/20 split,remove,Reintroduce only if locked reruns support it with uncertainty,G0-06;V3-01;W5-01,blocked
CLM-009,Results,dagger p<0.05 by Wilcoxon signed-rank with five seeds,valid independent units + multiplicity plan,EXP-4.3,,Two-sided exact Wilcoxon cannot reach p<0.05 with five nonzero pairs,remove,Use participant/fold inference; seeds are stability repetitions,E4-13;E4-15,blocked
CLM-010,Transfer,SEED transfer confirms general representations,licensed protocol + raw transfer runs,EXP-5.10,,No SEED data/protocol/artifacts,future_work,Move transfer to future work unless fully regenerated,E4-04;W5-09,blocked
CLM-011,Interpretation,CSAG weights reveal task-dependent cognitive scales,stability + perturbation evidence,EXP-5.2;EXP-5.9,,Attention plots alone are descriptive,narrow,"Describe weights as descriptive, not causal proof",W5-08,blocked
CLM-012,Discussion/Conclusion,population-scale and clinical deployment relevance,population/clinical validation,,,Datasets are small and no clinical validation supplied,remove,Limit to research classification on evaluated datasets,D1-02;V3-10;W5-06,blocked
