experiment_id,priority,dataset,conditions,grouped_folds,repeats,seeds_per_fold,total_runs,gpu_count_per_run,estimated_minutes_per_run,estimated_gpu_hours,storage_gb,dependencies,justification
EXP-0.1-RF,P0,none(model-only),3 branches x {impulse; gradient; perturbation},1,1,1,9,1,3,0.5,0.1,GAP-1,Analytic derivation done (61/481/1921 vs printed 47/383/1535); code impulse/gradient test confirms block graph. Cheap; runnable on the single RTX 4060 Ti.
EXP-0.2-params,P0,none(model-only),count trainable/nontrainable + FLOPs/MACs,1,1,1,3,1,2,0.1,0.05,GAP-1,Static enumeration from state_dict; corrects 2D-per-subject vs d_s=8 (T2-03). Near-zero compute.
EXP-0.3-sync,P0,synthetic,{increment/reset; HOLD; precedence; atomicity; checkpoint-restart} x {N=2/4/8},1,3,1,45,2,10,7.5,2,GAP-1;GAP-5,TCP/HOLD invariants and replication (T2-04/05/06). Multi-GPU paths need >=2 GPUs; N=8 path needs the 8-GPU server (GAP-5). Single-GPU host can only mock.
EXP-0.4-causality,P0,synthetic,{causal-pad; mask; var-len; batch-invariance; ckpt-reload; determinism; AMP},1,3,1,21,1,5,1.75,1,GAP-1,"Unit/integration tests for causality/shape/determinism (T2-12,V3-08). Cheap; single-GPU OK."
EXP-1.1-provenance,P0,StudentLife+DAIC,generate manifests/distributions/hashes,1,1,1,2,0,5,0,2,GAP-2,Split manifests + subject/session/window/label reconciliation (V3-01/02/07/09). CPU only.
EXP-1.2-leakage,P0,StudentLife+DAIC,{subject-overlap; window-overlap; dup; norm/impute-scope; embed-lookup},1,1,1,2,0,5,0,2,GAP-2,Automated leakage assertions (V3-01/03/05/06). CPU only. Gate 1 blocker.
EXP-1.3-preproc,P1,StudentLife,4 imputation strategies,5,1,3,60,1,15,15,3,GAP-1;GAP-2,Leakage-safe imputation sensitivity (V3-04/05). Selected on dev only. Single-GPU feasible.
EXP-2.1-repro,P0,StudentLife+DAIC,D-MSTCN+7 baselines (old configs),5,1,5,180,1,20,60,10,GAP-1;GAP-2;GAP-3,Map every Table 2/3/4/5 value to a raw run; unreproducible numbers removed. Single-GPU feasible (serialized).
EXP-2.2-baselines,P0,StudentLife+DAIC,7 baselines w/ per-model HP search,5,1,5,180,1,25,75,10,GAP-1;GAP-2,Fair baselines with model-specific search spaces + matched budget (E4-01). Headline runs overlap EXP-4.1/4.2.
EXP-3.1-syncablation,P0,StudentLife+DAIC,{full-sync; TCP; bounded-staleness; component-disabled},5,1,5,120,1,25,50,8,GAP-1;GAP-2;GAP-5,Same-architecture sync ablation isolates TCP causal effect (E4-02). KILL RULE applies. Multi-GPU realism needs GAP-5.
EXP-3.2-tcpcomp,P1,StudentLife+DAIC,{periodic; HOLD; version-bound; combos},5,1,3,72,1,25,30,6,GAP-1;GAP-2;GAP-5,TCP component ablation + delta_max/T_sync sensitivity (E4-16). Systems metrics need GAP-5.
EXP-3.3-synthetic,P1,synthetic,short/medium/long delay tasks,3,1,5,45,1,15,11,3,GAP-1,Controlled temporal task w/ prespecified falsification criteria (E4-04). Single-GPU feasible.
EXP-4.1-SL-headline,P0,StudentLife,D-MSTCN+7 baselines (locked),5,1,5,200,1,25,83,12,GAP-1;GAP-2,Locked grouped-CV out-of-fold evaluation (E4-14). Primary unit = fold. Single-GPU feasible.
EXP-4.2-DAIC-headline,P0,DAIC-WOZ,D-MSTCN+7 baselines; dev-select then test-if-authorized,1,1,5,40,1,25,17,4,GAP-1;GAP-2;GAP-6,Train/dev/test per official split; dev-only if no test right (GAP-6). No 107/82 merge.
EXP-4.3-stats,P0,both,participant/fold CIs + paired effect sizes + multiplicity,1,1,1,1,0,10,0,1,GAP-2,Wilcoxon n=5 impossibility PROVEN analytically; full stats need OOF predictions. Bootstrap CIs on predictions (E4-13/15).
EXP-4.4-calibration,P1,both,ECE/Brier/PR-AUC/reliability/threshold,1,1,1,2,0,10,0,2,GAP-1;GAP-2,Calibration + class-wise metrics from saved predictions (E4-15). Analysis only.
EXP-4.5-erroranalysis,P1,both,prespecified error slices (no subject IDs),1,1,1,2,0,10,0,1,GAP-2,Error analysis without exposing participant identity (E4-15). Analysis only.
EXP-5.1-branches,P1,StudentLife+DAIC,{S; M; L; SM; SL; ML; full},5,1,3,126,1,20,42,6,GAP-1;GAP-2,Branch ablations + kernel sizes (E4-09). Single-GPU feasible.
EXP-5.2-CSAG,P1,StudentLife+DAIC,{fixed-avg; learned-static; dynamic; temp-sweep},5,1,3,90,1,20,30,5,GAP-1;GAP-2,CSAG vs alternative fusion + temperature (E4-10). Single-GPU feasible.
EXP-5.3-dilation,P1,StudentLife+DAIC,limited dilation/kernel/depth grid,5,1,3,90,1,20,30,5,GAP-1;GAP-2,Prespecified dilation sensitivity (E4-08). Single-GPU feasible.
EXP-5.5-personalization,P1,StudentLife+DAIC,{none; global-adapter; FiLM; param-matched},5,1,3,72,1,20,24,4,GAP-1;GAP-2,Personalization ablation w/ parameter-matched control (E4-11). Single-GPU feasible.
