risk_id,category,risk,likelihood,impact,affected_tasks,mitigation,status
R-01,integrity,Retained submitted numbers cannot be reproduced from raw logs; response defends unreproducible values.,high,critical,"G0-06,G0-07,EXP-2.1",Provenance gate: no number resubmitted unless mapped to a run/seed/config/output. BLOCKED until code+data+logs (GAP-1/2/3) provided.,open-blocked
R-02,data/leakage,Subject/session leakage in StudentLife or DAIC invalidates headline results.,medium,critical,"V3-01,V3-03,V3-05,V3-06,EXP-1.2",Automated leakage assertions; subject-grouped splits before any preprocessing. Cannot audit without data (GAP-2).,open-blocked
R-03,systems,"Systems claims (multi-node, near-linear, N=16, 57%) exceed single-server 8-GPU evidence.",high,critical,"D1-01,T2-07,W5-01,EXP-6.3",Reframe to single-server branch-parallel multi-GPU (DEC-01); remove N=16; never report unavailable device counts. Evidence needs original 8-GPU host (GAP-5).,mitigation-decided
R-04,statistics,"Significance markers are mathematically unreachable (Wilcoxon, n=5, two-sided p_min=0.0625).",confirmed,high,"E4-13,E4-15,EXP-4.3",PROVEN analytically; remove markers; use participant/fold unit + bootstrap CIs + paired effect sizes; declare test details.,evidence-ready
R-05,methodology,Theorem 1 convergence guarantee is unsound for a biased masked-gradient estimator.,confirmed,high,"D1-04,T2-09,T2-10",Remove theorem; retain only an implementation-tested bounded-version-lag invariant (DEC-02).,mitigation-decided
R-06,correctness,Receptive-field values (47/383/1535) and seconds/minutes/hours labels are inconsistent with the two-conv block and the datasets' sampling.,confirmed,medium,"T2-02,T2-08,EXP-0.1",Analytic two-conv formula gives 61/481/1921; confirm by code impulse test; report theoretical vs realized separately. Code needed (GAP-1).,partial-analytic
R-07,citation,"References [25],[32],[37] unverifiable / used for wrong claim; other metadata errors.",high,high,"G0-01,G0-02,G0-03,W5-12",Authoritative-record + claim-level audit (tracker Reference Audit done); web re-verification + .bib rebuild pending. Do not invent metadata.,open-inprogress
R-08,reproducibility,"No manuscript source, so specified edits cannot be applied or recompiled; no revised/clean/highlighted PDF.",confirmed,critical,"S7-03,S7-04,F6-*,W5-*",Specify exact edits in tracker/claim registry now; apply once LaTeX/.bib source (GAP-4) is provided.,open-blocked
R-09,systems,No multi-GPU hardware in this environment (1x RTX 4060 Ti vs 8x A100).,confirmed,high,"EXP-6.1,EXP-6.2,EXP-6.3,EXP-6.4,EXP-6.5",Systems evidence must be regenerated on the authors' original server; not substitutable by single-GPU emulation.,open-blocked
R-10,methodology,DDP-inherently-violates-causality claim overgeneralized; 1.1-pt gap may be batch/LR/sampler artifact.,medium,high,"D1-03,E4-02,W5-03",Narrow claim to defined stateful/overlapping/async conditions; isolate mechanism with matched controls (EXP-3.1). KILL RULE on TCP if no meaningful benefit.,mitigation-decided
R-11,administrative,"AI-use disclosure, coauthor sign-off, and biographies cannot be self-certified.",confirmed,medium,"G0-08,G0-10,D1-08,F6-05,S7-07",Use placeholders; require author confirmation before finalizing (GAP-7).,open-blocked
R-12,data/leakage,DAIC test-evaluation right unknown; risk of presenting dev/107-82 as a test result.,medium,high,"V3-02,EXP-4.2,GAP-6",Confirm test access; if unavailable report dev-only and mark test blocked; never merge dev+test.,open-blocked
R-13,scope,SEED transfer claim lacks verified data/license/protocol in package.,medium,medium,"EXP-5.10,W5-05",Run only with verified version/split/provenance; otherwise move transfer claim to future work.,mitigation-decided
R-14,administrative,Reviewer verbatim text unavailable (only tracker summaries); response may misquote.,medium,medium,"S7-01,S7-02,W5-12",Draft response from summaries; confirm exact wording from the decision letter before finalizing (GAP-8).,open-inprogress
R-15,reproducibility,No version control / frozen environment; silent drift once revision begins.,medium,medium,"G0-09,E4-18",Create git repo + immutable tag + dependency lock + checksum manifest once code lands.,open-blocked
