experiment_id,priority,dataset,conditions,grouped_folds,repeats,seeds_per_fold,total_runs,gpu_count_per_run,estimated_minutes_per_run,estimated_gpu_hours,storage_gb,dependencies,justification
EXP-0.1,P0,N/A,3 branches x analytic/gradient/perturbation,1,1,1,6,0,5,0.0,0.1,source + model config,Mandatory RF correctness; CPU/single-GPU cheap test
EXP-0.2,P0,N/A,3 representative input shapes,1,1,1,3,1,5,0.25,0.2,source + model config,Exact parameter and MAC/FLOP accounting
EXP-0.3,P0,N/A,12 synchronization/state transitions,1,1,1,12,1,5,1.0,0.5,distributed implementation,Invariant and checkpoint tests; multi-GPU cases blocked on one GPU
EXP-0.4,P0,N/A,8 causality/shape/reproducibility tests,1,1,1,8,1,10,1.33,1.0,source + fixtures,Cheap correctness suite
EXP-1.1,P0,StudentLife+DAIC-WOZ,provenance and fixed manifests,6,1,1,6,0,15,0.0,1.0,authorized data + official splits,Two datasets; five SL folds plus DAIC official split
EXP-1.2,P0,StudentLife+DAIC-WOZ,10 leakage assertions per protocol,6,1,1,60,0,5,0.0,1.0,authorized data + pipeline,Leakage gate
EXP-1.3,P1,StudentLife+DAIC-WOZ,4 imputation conditions,6,1,3,72,1,25,30.0,6.0,EXP-1.1/1.2,Robustness; SL 5 folds and DAIC dev protocol
EXP-2.1,P0,StudentLife+DAIC-WOZ,submitted configuration reproduction,6,1,5,30,1,30,15.0,12.0,old code/config/logs,Conditional estimate; old artifacts absent
EXP-2.2,P0,StudentLife+DAIC-WOZ,8 methods,6,1,5,240,1,35,140.0,45.0,locked leakage-safe protocols,SL: 8x5x5=200; DAIC: 8x1x5=40
EXP-2.3,P1,StudentLife+DAIC-WOZ,4 capacity controls,6,1,3,72,1,35,42.0,16.0,EXP-2.2,Capacity/tuning controls
EXP-3.1,P0,StudentLife+DAIC-WOZ,4 synchronization conditions,6,1,5,120,1,35,70.0,24.0,correct distributed code,SL 4x5x5=100; DAIC 4x1x5=20
EXP-3.2,P1,StudentLife+DAIC-WOZ,8 TCP component conditions,6,1,3,144,1,35,84.0,28.0,EXP-3.1,Component ablation
EXP-3.3,P1,Synthetic,3 delay regimes x 3 models,1,1,10,90,1,15,22.5,5.0,source,Controlled falsification task
EXP-4.1,P0,StudentLife,locked grouped CV,5,1,10,50,1,35,29.17,12.0,Gate 1 + locked config,5 folds x 10 stability seeds
EXP-4.2,P0,DAIC-WOZ,official train/dev; test if authorized,1,1,10,10,1,40,6.67,6.0,official splits + evaluator right,One locked evaluation per seed; test submission not assumed
EXP-4.3,P0,StudentLife+DAIC-WOZ,participant/fold statistics,6,1,10,60,0,5,0.0,2.0,OOF predictions,"Analysis jobs, not extra training"
EXP-4.4,P1,StudentLife+DAIC-WOZ,calibration/threshold analysis,6,1,10,60,0,5,0.0,2.0,OOF/dev predictions,Analysis jobs
EXP-5.1,P1,StudentLife+DAIC-WOZ,7 branch combinations,6,1,3,126,1,35,73.5,24.0,locked protocol,Architecture ablation
EXP-5.2,P1,StudentLife+DAIC-WOZ,5 fusion conditions,6,1,3,90,1,35,52.5,18.0,locked protocol,CSAG controls
EXP-5.3,P1,StudentLife+DAIC-WOZ,6 schedule/kernel/depth conditions,6,1,3,108,1,35,63.0,20.0,EXP-0.1,Limited sensitivity
EXP-5.5,P1,StudentLife,4 personalization conditions,5,1,3,60,1,35,35.0,12.0,leakage-safe identity handling,Personalization controls
EXP-5.6,P1,StudentLife,zero-shot + 3 few-shot budgets,5,1,3,60,1,30,30.0,12.0,chronological support/query,Unseen-subject evaluation
EXP-5.7,P1,StudentLife+DAIC-WOZ,4 missingness severities,6,1,3,72,1,25,30.0,10.0,locked models,Robustness
EXP-5.8,P1,StudentLife+DAIC-WOZ,4 context lengths,6,1,3,72,1,25,30.0,10.0,RF validation,Context sensitivity
EXP-5.9,P1,StudentLife+DAIC-WOZ,attention stability analyses,6,1,3,18,0,10,0.0,3.0,saved predictions/weights,Analysis only
EXP-5.10,P2,SEED,4 transfer conditions,3,1,3,36,1,35,21.0,8.0,licensed SEED + protocol,Optional; presently blocked
EXP-6.1,P0,StudentLife+DAIC-WOZ,2 input shapes x 20 repetitions,1,1,20,40,1,5,3.33,4.0,implemented model,Single-GPU profile available in principle
EXP-6.2,P0,StudentLife+DAIC-WOZ,1-GPU equivalence only locally,1,1,10,10,1,10,1.67,2.0,2+ physical GPUs for scaling,Multi-GPU portion blocked; one-GPU reference counted
EXP-6.3,P0,StudentLife+DAIC-WOZ,1-GPU timing reference only locally,1,1,20,20,1,5,1.67,2.0,2+ physical GPUs for curves,Strong/weak scaling blocked beyond N=1
EXP-6.4,P1,N/A,network/interconnect sensitivity,1,1,20,20,1,5,1.67,2.0,verified communication path + multi-host/network,Not applicable to current one-GPU host
EXP-6.5,P1,N/A,4 failure/recovery conditions,1,1,5,20,1,10,3.33,3.0,distributed implementation,Failure/recovery tests
