tracker_task_id,reviewer,comment_summary,category,priority,proposed_decision,experiment_ids,code_locations,manuscript_locations,acceptance_test,evidence_paths,current_status,blocker
G0-01,R7; Editor,Audit all 38 references against authoritative records,citation,P0,"Use an authoritative-record audit for all 38 references. Retain verified records, remove current [25] and [37], and replace current [32] because its record/claim could not be validated.",(manuscript/response action — no experiment),n/a,References,Completed Reference Audit; final .bib diff; clean PDF citation-number cross-check.,reviews tracker 'Reference Audit' sheet; web re-verification pending,in_progress,Decision drafted from PDF + tracker; final web verification / manuscript application / coauthor sign-off pending.
G0-02,R7,Resolve references [25] and [37] without prematurely calling them fabricated,citation,P0,"Remove current [25] and [37]. Replace [25] with Al Hanai, Ghassemi and Glass, Interspeech 2018 (DOI 10.21437/Interspeech.2018-2522) where sequence-based depression modeling is discussed; use existing MAML [31] for the cold-start meta-learning statement instead of inventing a separate personalized-cognition citation.",(manuscript/response action — no experiment),n/a,"References [25], [37]",Official ISCA record; MAML PMLR record; bibliography compile with no orphan citations.,reviews tracker 'Reference Audit' sheet; web re-verification pending,in_progress,Decision drafted from PDF + tracker; final web verification / manuscript application / coauthor sign-off pending.
G0-03,R2; R7,Re-evaluate reference [32] and the multi-timescale neuroscience claim,citation,P0,"Remove current [32] and withdraw the EEG-band-to-smartphone-timescale argument. Use Honey et al., Neuron 2012 (DOI 10.1016/j.neuron.2012.10.011) only for the general existence of hierarchical temporal processing, not for the selected dilation values.",(manuscript/response action — no experiment),n/a,"Sections II, III-A, VII-A",Replacement official record; receptive-field table; claim-to-citation audit.,reviews tracker 'Reference Audit' sheet; web re-verification pending,in_progress,Decision drafted from PDF + tracker; final web verification / manuscript application / coauthor sign-off pending.
G0-04,R7,Verify the StudentLife citation [1] against the official ACM record,citation,P0,"Retain StudentLife, but expand its metadata to the official ACM record (DOI 10.1145/2632048.2632054) and verify the full author list/order.",(manuscript/response action — no experiment),n/a,Reference [1],ACM DOI record and compiled bibliography entry.,reviews tracker 'Reference Audit' sheet; web re-verification pending,in_progress,Decision drafted from PDF + tracker; final web verification / manuscript application / coauthor sign-off pending.
G0-05,R7; R3,Build a claim-to-citation matrix for every strong literature claim,citation,P0,Apply a claim-strength rule: every external factual claim receives a direct source; unsupported superlatives or mechanistic claims are deleted or softened.,(manuscript/response action — no experiment),n/a,Entire manuscript,Claim matrix; redlined manuscript; independent coauthor check.,reviews tracker 'Reference Audit' sheet; web re-verification pending,in_progress,Decision drafted from PDF + tracker; final web verification / manuscript application / coauthor sign-off pending.
G0-06,R1; R6,Create a table-and-figure provenance map from raw logs,reproducibility,P0,"Do not carry any reported number into the resubmission unless it is mapped to a run ID, seed, split, configuration and raw output. Untraceable values must be rerun or removed.",EXP-2.1,UNAVAILABLE — no source in package,Tables 2–5; Figures 4–11,"Raw logs, run manifest, commit tag and regenerated tables/figures.",artifacts/resubmission/ (pending evidence),blocked,"MISSING INPUT: D-MSTCN implementation + authorized StudentLife/DAIC datasets + raw logs are not in the package. Cannot inspect code, run experiments, or reproduce numbers."
G0-07,R1,Resolve Reviewer 1's alleged 58.7 versus 68.7 mismatch correctly,correctness,P0,Respectfully rebut the alleged 58.7/68.7 discrepancy: the submitted prose and Table 2 both show 68.7 ± 2.3 for DataParallel-LSTM. Still rerun/trace the value and improve table legibility.,EXP-2.1,UNAVAILABLE — no source in package,Section V-A; Table 2,Submitted PDF page 11; raw run summary reproducing the mean/SD; revised vector table.,artifacts/resubmission/ (pending evidence),blocked,"MISSING INPUT: D-MSTCN implementation + authorized StudentLife/DAIC datasets + raw logs are not in the package. Cannot inspect code, run experiments, or reproduce numbers."
G0-08,Editor,Reconfirm the generative-AI disclosure is literally accurate,administrative,P0,Use an accurate disclosure covering language editing and reviewer-response organization; do not claim that AI had no substantive role unless all authors can verify that literally.,(manuscript/response action — no experiment),n/a,Acknowledgment / disclosure,Final disclosure approved in writing by both authors and aligned with current IEEE policy.,artifacts/resubmission/ (pending evidence),blocked,"Requires author/guide input (disclosure facts, sign-off, biography). Cannot be self-certified."
G0-09,Editor; R3,"Freeze and archive the exact code, configs and data manifests used for revision",reproducibility,P0,Create one immutable revision tag and manifest before reruns; all new results must point to it or a documented successor tag.,repro-pkg,UNAVAILABLE — no source in package,Supplement / reproducibility,"Git tag, lockfile, checksum manifest and reproduction command.",artifacts/resubmission/ (pending evidence),blocked,"MISSING INPUT: D-MSTCN implementation + authorized StudentLife/DAIC datasets + raw logs are not in the package. Cannot inspect code, run experiments, or reproduce numbers."
G0-10,Editor,Conduct a coauthor integrity sign-off before technical revision proceeds,administrative,P0,"Require a written coauthor sign-off after reference and result audits, before treating the manuscript as scientifically ready.",(manuscript/response action — no experiment),n/a,Internal,Signed checklist or approval email retained in the submission archive.,artifacts/resubmission/ (pending evidence),blocked,"Requires author/guide input (disclosure facts, sign-off, biography). Cannot be self-certified."
