claim_id,manuscript_location,original_claim,evidence_required,experiment_ids,evidence_paths,verified_result,decision,replacement_text,tracker_task_ids,status
C-01,Title,'Distributed Temporal Neural Architectures for Scalable Cognitive Modeling',Physical multi-node scaling evidence,EXP-6.3,none (single-server 8-GPU only),Only single-server 8-GPU measured,narrow,'A Multi-Scale Temporal Convolutional Network for Cognitive State Modeling with Branch-Parallel Multi-GPU Execution',D1-06;D1-01,decision-drafted; source-edit-blocked
C-02,Abstract; I-B; II-C,Standard data-parallel distribution violates the causal temporal ordering intrinsic to cognitive sequences,Controlled mechanism isolation vs matched batch/LR/sampler,EXP-3.1,none,1.1-pt gap not causally attributed,narrow,Narrow to defined stateful/overlapping/asynchronous settings; report gap as observation pending matched controls,D1-03;W5-03;E4-02,decision-drafted; experiment-blocked
C-03,Abstract; V,near-linear throughput scaling (efficiency eta>=0.81) from 1 to 8 compute nodes,Physical multi-host scaling with topology/comm evidence,EXP-6.3,none,single-server 8-GPU NVLink only,narrow,'branch-parallel speedup on a single 8-GPU server; eta>=0.81 at 8 GPU workers under NVLink',D1-01;T2-07;E4-06,decision-drafted; evidence-blocked
C-04,Abstract; V-B; Table 3,reducing per-epoch training time by 57% at 8 nodes; N=16 scalability,Reproduced timing on reported hardware; N=16 impossible on 8 GPUs,EXP-6.3,none,8 physical GPUs only,narrow,Keep 57% only if reproduced; label as 8 GPU workers; DELETE the N=16 column,T2-07;E4-06;E4-17,decision-drafted; evidence-blocked
C-05,Abstract; Contributions,first neural architecture to jointly address multi-scale temporal inductive bias and distributed temporal coherence,Systematic novelty check vs closest prior work,(none),none,building blocks are known,narrow,Novelty = specific co-designed architecture + branch-parallel execution mapping; drop 'first' for components,D1-05;W5-04;W5-05,decision-drafted
C-06,III-D; Eq.13; Theorem 1,TCP provides a bounded-staleness guarantee (Theorem 1) ensuring convergence to a neighbourhood of the synchronous optimum,Valid convergence proof for biased masked-gradient estimator,(none),none,proof sketch unsound; does not establish convergence,remove,Replace with operational invariant: branch version lag capped by delta_max under stated counter/sync rules; no convergence claim,D1-04;T2-09;T2-10,decision-drafted
C-07,III-B; Fig.1/2,"short-scale RF=47 (seconds), medium RF=383 (minutes), long RF=1535 (hours)",Code impulse/gradient RF measurement,EXP-0.1,statistics/gateP_analytic_checks.md,Two-conv formula=61/481/1921; printed values match neither; SL caps at 60 steps,narrow,Report code-measured theoretical RF + input-capped realized context per dataset; fix scale labels,T2-02;T2-08,analytic-done; code-confirm-blocked
C-08,III-B.4; after Eq.9,The adapter adds 2D parameters per subject - a negligible overhead,Exact parameter enumeration from state_dict,EXP-0.2,none,per-subject cost = d_s=8; FiLM generator shared,narrow,Per-subject params = d_s (8); report shared FiLM-generator params separately; replace 'negligible' with measured %,T2-03,decision-drafted; code-count-blocked
C-09,Abstract; IV-A; I,Scaling to large participant cohorts and eventually thousands of participants; population-scale,Population-scale evaluation,(none),none,48 + 189 subjects only; population-scale not evaluated,remove,Reframe motivation to computational efficiency for multi-resolution longitudinal modeling; move population-scale to future work,D1-02;W5-06,decision-drafted
C-10,V; Table 2; captions,"Improvements statistically significant (Wilcoxon signed-rank, alpha=0.05, 5 seeds); dagger p<0.05",A test that can reach p<0.05,EXP-4.3,statistics/gateP_analytic_checks.md,n=5 two-sided exact p_min=0.0625>0.05 -> unreachable,remove,Remove dagger markers; use participant/fold unit + bootstrap CIs + paired effect sizes; declare test details,E4-13;E4-15,evidence-ready-analytic; rerun-blocked
C-11,V; Table 2,"D-MSTCN achieves the highest macro F1 on both datasets (SL 75.8, DAIC 77.1)",Reproduced grouped-CV / official-split evaluation with CIs,EXP-4.1;EXP-4.2,none,not reproducible from package (no logs),retain,Retain only if reproduced from logs with CIs; otherwise rerun or remove per provenance gate,G0-06;E4-14;E4-01,conditional; evidence-blocked
C-12,V-C; Table 4; Fig.7,"Cross-dataset transfer to SEED: 82.5 F1 (adapter-only), 83.6 (full FT), +2.5 over from-scratch",Verified SEED data/license/split + source/target protocol,EXP-5.10,none,SEED not in package; unverifiable,future_work,Move transfer to future work unless verified SEED data+protocol provided,E4-18;W5-05,evidence-blocked
C-13,IV-E; V-B,tc-netem network emulation approximates realistic multi-node scenarios,Real multi-host network path measurement,EXP-6.4,none,single NVLink server; not multi-node evidence,narrow,Present emulation only as single-server sensitivity analysis; remove multi-node interpretation,D1-01;E4-05,decision-drafted; evidence-blocked
C-14,VI-A; Table 5; III-A; VII-A,"each temporal scale contributes independently, aligning with neuroscientific theta/alpha/ultradian timescales",Dataset-grounded rationale; ablation with CIs,EXP-5.1;EXP-5.2,none,EEG-band mapping invalid at minute sampling,narrow,Present as engineering multi-resolution rationale; reserve EEG-band discussion for SEED; keep ablation only if reproduced,T2-08;G0-03;E4-09;E4-10,decision-drafted; evidence-blocked
C-15,VI-B; Fig.10; VII,CSAG attention weights provide post-hoc interpretability of cognitive state,Attention stability across folds/seeds; perturbation consistency,EXP-5.9,none,not tested; not causal proof,narrow,"Qualify as descriptive, not causal; report stability across folds/seeds if reproduced",W5-08,decision-drafted; evidence-blocked
