ID,Phase,Priority,Reviewer(s),Category,Task,Why / Problem,Detailed Action Steps,Definition of Done,Deliverable / Evidence,Dependency,Suggested Owner,Target Week,Status,% Complete,Blocking,Decision Required,Manuscript Section,Response Ref,Notes
G0-01,0. Integrity & Ground Truth,P0 Critical,R7; Editor,Reference integrity,Audit all 38 references against authoritative records,A reference-integrity objection can sink the resubmission even when the technical contribution is sound.,"• Verify exact title, full author list, venue, year, pages and DOI/official record for every reference.
• Record an authoritative URL and the exact manuscript claim supported by each citation.
• Mark unresolved entries as 'Unverified' rather than assuming they exist.","All 38 rows in Reference Audit have source URL, verification status and claim mapping.",Completed Reference Audit sheet + corrected .bib,,Aditya,Week 1,In Progress,0%,Yes,No,References,R7,
G0-02,0. Integrity & Ground Truth,P0 Critical,R7,Reference integrity,Resolve references [25] and [37] without prematurely calling them fabricated,"The current tracker labels them confirmed non-existent, but that conclusion must be based on an authoritative provenance search.","• Search official proceedings, Crossref, DBLP, publisher libraries and author profiles.
• If no authoritative record is found, remove and replace them with real papers that support the exact claims.
• In the response, state the audit process and correction without speculating about how the error occurred.",Each reference is either verified with an official record or removed and replaced with a claim-matched source.,Audit notes + corrected citations,G0-01,Aditya,Week 1,In Progress,0%,Yes,No,"References [25], [37]",R7,
G0-03,0. Integrity & Ground Truth,P0 Critical,R2; R7,Citation-to-claim mapping,Re-evaluate reference [32] and the multi-timescale neuroscience claim,"Even if the paper exists, a real citation used for the wrong claim is still a scholarly accuracy problem.","• Verify the paper's actual scope.
• Remove it from statements about multi-scale cognitive neurodynamics unless it directly supports them.
• Replace with a direct, authoritative multi-timescale cognition or neurodynamics source where needed.","Every use of [32] accurately matches the source, or the reference is replaced.",Revised related-work and design-rationale citations,G0-01,Aditya + Guide,Week 1,In Progress,0%,Yes,No,"Sections II, III-A, VII-A",R2/R7,
G0-04,0. Integrity & Ground Truth,P0 Critical,R7,Reference integrity,Verify the StudentLife citation [1] against the official ACM record,"The reviewer alleges an authorship problem; the response must rely on the official record, not memory.","• Verify authors, exact title, page range and DOI/ACM record.
• Correct any title or author-order variation.
• Respond politely with the official record if the submitted citation was already correct.",Reference [1] exactly matches the official bibliographic record.,Verified reference record + response text,G0-01,Aditya,Week 1,In Progress,0%,Yes,No,Reference [1],R7,
G0-05,0. Integrity & Ground Truth,P0 Critical,R7; R3,Claim audit,Build a claim-to-citation matrix for every strong literature claim,Correct references are not enough; each citation must actually support the sentence attached to it.,"• List every novelty, neuroscience, dataset, baseline and convergence claim.
• Map each claim to one or more verified references.
• Delete or soften claims without direct support.",All strong external claims are mapped to verified sources; unsupported claims are removed or softened.,Claim-to-citation matrix,G0-01,Aditya + Guide,Week 1,Not Started,0%,Yes,No,Entire manuscript,R3/R7,
G0-06,0. Integrity & Ground Truth,P0 Critical,R1; R6,Results provenance,Create a table-and-figure provenance map from raw logs,"Every reported value must be traceable to a specific run, seed, config and output file.","• Map every number in Tables 2–5 and Figures 4–11 to a run ID and log path.
• Record dataset split, seed, commit hash and configuration.
• Re-run or remove values that cannot be reproduced.",Every result cell and figure has a traceable run ID and reproducible source file.,Results provenance workbook/log index,,Aditya,Week 1,Not Started,0%,Yes,No,Tables 2–5; Figures 4–11,R1/R6,
G0-07,0. Integrity & Ground Truth,P0 Critical,R1,Results verification,Resolve Reviewer 1's alleged 58.7 versus 68.7 mismatch correctly,"The submitted Table 2 shows 68.7, so this appears to be a reviewer reading/rendering issue, not a data discrepancy.","• Confirm the source logs still produce 68.7 ± 2.3.
• Improve Table 2 resolution and typography.
• In the response, quote the exact row and explain that the manuscript text and table are consistent.",The value is reproduced from logs and the response politely documents the table's actual value.,Reproduced run + high-resolution table + rebuttal text,G0-06,Aditya,Week 1,Not Started,0%,Yes,No,Section V-A; Table 2,R1,
G0-08,0. Integrity & Ground Truth,P0 Critical,Editor,Disclosure,Reconfirm the generative-AI disclosure is literally accurate,"The final manuscript must accurately describe how AI tools were used, especially after the reference audit.","• Document the actual use of AI tools in drafting, coding, analysis and editing.
• Align the disclosure with IEEE policy and the real workflow.
• Obtain coauthor approval of the final wording.","The disclosure is factually accurate, policy-aligned and approved by all authors.",Approved disclosure paragraph,G0-01; G0-06,Aditya + Guide,Week 1,Not Started,0%,Yes,No,Acknowledgment / disclosure,Editor,
G0-09,0. Integrity & Ground Truth,P0 Critical,Editor; R3,Reproducibility,"Freeze and archive the exact code, configs and data manifests used for revision",A stable evidence package prevents silent changes while the response and manuscript are being updated.,"• Create a tagged Git commit for the revision.
• Save environment file, package versions, random seeds and data checksums.
• Archive raw logs and plotting scripts in a read-only folder.","A tagged, checksum-backed revision archive can reproduce all reported outputs.",Git tag + environment lockfile + data/log manifest,G0-06,Aditya,Week 1,Not Started,0%,Yes,No,Supplement / reproducibility,R3,
G0-10,0. Integrity & Ground Truth,P0 Critical,Editor,Governance,Conduct a coauthor integrity sign-off before technical revision proceeds,"Both authors should agree that references, results and disclosures are accurate before investing in new experiments.","• Review the completed reference and result audits together.
• Document unresolved items and owners.
• Record written approval to proceed.",Guide/coauthor signs off on the integrity gate with no unresolved P0 issue.,Signed internal checklist,G0-01:G0-09,Guide,Week 1,Not Started,0%,Yes,No,Internal,Editor,
D1-01,1. Scope & Core-Claim Decisions,P0 Critical,R2; R3; R6,Scope decision,Decide: obtain true multi-node results or reframe as single-server multi-GPU,Bandwidth throttling on one NVLink server does not validate physical multi-node behavior.,"• Option A: run on at least 2–4 physical hosts and report NIC, topology, RTT, bandwidth and variance.
• Option B: explicitly reframe the contribution as branch-parallel multi-GPU execution and remove physical-cluster claims.
• Record the decision before rewriting the title or abstract.",A written scope decision is approved by the guide and reflected consistently across the manuscript.,Decision Log entry + approved scope statement,,Aditya + Guide,Week 1,Not Started,0%,Yes,Yes,"Title; Abstract; Sections I, IV-E, V, VIII, IX",R2/R3/R6,
D1-02,1. Scope & Core-Claim Decisions,P0 Critical,R2; R3; R6,Motivation decision,Decide how to address the small-dataset versus population-scale mismatch,StudentLife and DAIC-WOZ do not themselves demonstrate a need for population-scale distributed training.,"• Add honest synthetic or replicated longitudinal workloads for scaling analysis, or
• Remove 'thousands of participants' and population-scale validation language.
• Separate modeling validation from systems scalability validation.",The motivation and evidence are aligned without overstating what the datasets prove.,Approved revised motivation + experiment plan,D1-01,Aditya + Guide,Week 1,Not Started,0%,Yes,Yes,Introduction; Limitations; Conclusion,R2/R3/R6,
D1-03,1. Scope & Core-Claim Decisions,P0 Critical,R1; R2; R6,Core premise,Formally validate whether standard DDP inherently violates temporal causality in this setup,Causal ordering inside a complete sequence is not automatically violated merely because gradients from different samples are aggregated.,"• Define the exact sample unit, windowing, state carry-over and asynchronous update process.
• Identify the mechanism by which DDP would create causal inconsistency.
• Design controlled experiments that isolate this mechanism from batch size, sampler, learning-rate and seed effects.","The paper either proves and experimentally isolates a specific causality failure mode, or removes the general claim.",Formal problem definition + controlled experiment specification,,Aditya + Guide + Distributed-systems reviewer,Week 1,Not Started,0%,Yes,Yes,"Sections I-B, II-C, III-D, VII-C",R1/R2/R6,
D1-04,1. Scope & Core-Claim Decisions,P0 Critical,R1; R2,Theory decision,"Decide whether Theorem 1 is retained, replaced or removed","The current proof sketch does not establish convergence of a causally masked, biased gradient estimator.","• Retain only if a mathematically valid bounded-bias/asynchronous proof is completed and independently reviewed.
• Otherwise replace the theorem with a proposition that states an operational staleness bound, without a convergence claim.
• Ensure the empirical evidence matches the reduced claim.","The theorem status is approved by a qualified reviewer and reflected consistently in text, algorithm and response.",Decision Log entry + proof/replacement outline,D1-03,Aditya + Guide + Math reviewer,Week 1,Not Started,0%,Yes,Yes,Section III-D; Appendix,R1/R2,
D1-08,1. Scope & Core-Claim Decisions,P0 Critical,Editor,Approval gate,Obtain guide approval on the revised paper identity before new writing,Editing before the core decisions are settled creates contradictory versions and wasted work.,"• Review D1-01 through D1-07 with the guide.
• Record selected options and rejected alternatives.
• Lock the scope for the remainder of the revision.",Guide marks all structural decisions approved in the Decision Log.,Signed Decision Log,D1-01:D1-07,Guide,Week 1,Not Started,0%,Yes,Yes,Internal,Editor,
T2-02,2. Theory & Algorithm,P0 Critical,R2,Architecture mathematics,Derive and verify the exact receptive field for each branch,"Equation (2) appears to contain two dilated convolutions per block, so neither the manuscript values nor the reviewer's one-convolution calculation should be adopted without verification.","• Derive the formula from the implemented block, including both convolutions, padding and residual path.
• Write a unit test that perturbs input positions and measures the effective receptive field.
• Correct Figure 2, text and temporal-unit labels from the verified result.",Analytical derivation and code-based measurement agree for all branches.,Derivation + unit test + corrected Figure 2,G0-09,Aditya,Week 1,Not Started,0%,Yes,No,Section III-B; Figure 2,R2,
T2-04,2. Theory & Algorithm,P0 Critical,R2,Algorithm semantics,Rewrite the staleness counter semantics,The current increment/reset behavior is not clearly consistent with the prose description of continuously bounded staleness.,"• Define precisely what Δ_b counts: optimizer steps, parameter versions or missed synchronizations.
• Specify when it increments and resets.
• Make Algorithm 1 and Section III-D identical in meaning.","A reader can simulate the counter without ambiguity, and the code follows the same rule.",Revised Algorithm 1 + implementation test,D1-04,Aditya,Week 1,Not Started,0%,Yes,No,Section III-D; Algorithm 1,R2,
T2-05,2. Theory & Algorithm,P0 Critical,R2,Synchronization,Explain HOLD-triggered synchronization versus periodic AllReduce,"Two synchronization paths are present but their interaction, ordering and parameter scope are unclear.","• Specify whether HOLD synchronizes one branch or the full model.
• Define precedence when HOLD and periodic synchronization occur in the same step.
• Measure the communication and optimization consequences.","The algorithm, pseudocode and implementation use one unambiguous synchronization protocol.",Protocol state diagram + revised pseudocode,T2-04,Aditya,Week 1,Not Started,0%,Yes,No,Section III-D/E; Algorithm 1,R2,
T2-06,2. Theory & Algorithm,P0 Critical,R2,Replication,Define TCP behavior when branches are replicated for N > 3,The paper introduces data-parallel branch replicas without explaining how their gradients are synchronized under TCP.,"• Specify intra-replica and inter-branch aggregation order.
• State whether causal masking applies before or after replica reduction.
• Remove N > 3 claims if the implemented behavior is not defined and tested.","A complete execution graph exists for N=4, 8 and any reported higher count.",Execution diagram + implementation description,T2-04; T2-05,Aditya,Week 1–2,Not Started,0%,Yes,No,Section III-C/D,R2,
T2-07,2. Theory & Algorithm,P0 Critical,R2; R6,Experimental semantics,Explain how N = 16 was produced on an eight-GPU server,The hardware description and scalability table are currently inconsistent.,"• Document whether N means process, virtual worker, branch replica or physical GPU.
• Describe oversubscription if used.
• Remove or relabel N=16 results if they do not represent 16 independent compute resources.",Node/worker/GPU terminology is consistent and every N value is physically interpretable.,Revised hardware table + terminology note,D1-01; T2-06,Aditya,Week 1,Not Started,0%,Yes,No,Section IV-E; Table 3,R2/R6,
T2-09,2. Theory & Algorithm,P0 Critical,R1; R2,Convergence analysis,State all assumptions required by the revised theoretical result,"The current proof sketch omits assumptions about estimator bias, delay, bounded gradients and synchronization.","• Define objective, stochastic estimator, masking operator and parameter-delay model.
• State smoothness, variance/bias and bounded-delay assumptions.
• Explain which assumptions are empirically checkable.",The theorem/proposition is self-contained and every symbol and assumption is defined.,Formal assumptions subsection,D1-04,Aditya + Math reviewer,Week 1–2,Not Started,0%,Yes,No,Section III-D; Appendix,R1/R2,
